"DM_mththf_c","Sink needed to allow (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran to leave system","Intracellular demand"
"EX_12ppd__S_e","(S)-Propane-1,2-diol exchange","Extracellular exchange"
"EX_14glucan_e","1,4-alpha-D-glucan exchange","Extracellular exchange"
"DM_4crsol_c","Sink needed to allow p-Cresol to leave system","Intracellular demand"
"DM_oxam_c","Sink needed to allow oxamate to leave system","Intracellular demand"
"BIOMASS_Ec_iJO1366_WT_53p95M","E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate","Biomass and maintenance functions"
"BIOMASS_Ec_iJO1366_core_53p95M","E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate","Biomass and maintenance functions"
"EX_12ppd__R_e","(R)-Propane-1,2-diol exchange","Extracellular exchange"
"EX_15dap_e","1,5-Diaminopentane exchange","Extracellular exchange"
"EX_23camp_e","2',3'-Cyclic AMP exchange","Extracellular exchange"
"EX_23ccmp_e","2',3'-Cyclic CMP exchange","Extracellular exchange"
"EX_23cgmp_e","2',3'-Cyclic GMP exchange","Extracellular exchange"
"DM_5drib_c","Sink needed to allow 5'-deoxyribose to leave system","Intracellular demand"
"EX_23cump_e","2',3'-Cyclic UMP exchange","Extracellular exchange"
"DM_aacald_c","Sink needed to allow aminoacetaldehyde to leave system","Intracellular demand"
"EX_23dappa_e","2,3-diaminopropionate exchange","Extracellular exchange"
"EX_26dap__M_e","Meso-2,6-Diaminoheptanedioate exchange","Extracellular exchange"
"DM_amob_c","Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system","Intracellular demand"
"EX_2ddglcn_e","2-Dehydro-3-deoxy-D-gluconate exchange","Extracellular exchange"
"EX_34dhpac_e","3,4-Dihydroxyphenylacetaldehyde exchange","Extracellular exchange"
"EX_3amp_e","3'-AMP exchange","Extracellular exchange"
"EX_glyc_e","Glycerol exchange","Extracellular exchange"
"EX_3cmp_e","3'-cmp exchange","Extracellular exchange"
"EX_3gmp_e","3'-GMP exchange","Extracellular exchange"
"EX_3hcinnm_e","3-hydroxycinnamic acid exchange","Extracellular exchange"
"EX_3hpp_e","3-Hydroxypropanoate exchange","Extracellular exchange"
"EX_csn_e","Cytosine exchange","Extracellular exchange"
"EX_cu_e","Cu+ exchange","Extracellular exchange"
