name,subsystem,reaction,formula
Chloramphenicol exchange,Extracellular exchange,EX_cm_e,cm_e --> 
CMP exchange,Extracellular exchange,EX_cmp_e,cmp_e --> 
CO2 exchange,Extracellular exchange,EX_co2_e,co2_e <=> 
Co2+ exchange,Extracellular exchange,EX_cobalt2_e,cobalt2_e <=> 
Sink needed to allow p-Cresol to leave system,Intracellular demand,DM_4crsol_c,4crsol_c --> 
Sink needed to allow 5'-deoxyribose to leave system,Intracellular demand,DM_5drib_c,5drib_c --> 
Sink needed to allow aminoacetaldehyde to leave system,Intracellular demand,DM_aacald_c,aacald_c --> 
Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system,Intracellular demand,DM_amob_c,amob_c --> 
"Sink needed to allow (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran to leave system",Intracellular demand,DM_mththf_c,mththf_c --> 
Core oligosaccharide lipid A exchange,Extracellular exchange,EX_colipa_e,colipa_e --> 
Sink needed to allow oxamate to leave system,Intracellular demand,DM_oxam_c,oxam_c --> 
D-Glucose exchange,Extracellular exchange,EX_glc__D_e,glc__D_e <-- 
D-Gluconate exchange,Extracellular exchange,EX_glcn_e,glcn_e --> 
